dose	type	score
1.906655915	A	0.322328695
0.520972037	A	0.471921684
3.45444698	A	3.579987114
2.167380808	B	0.784903934
1.197049749	A	0.269013997
2.254402228	B	1.485848958
3.358591835	B	3.276352201
0.288345924	A	0.515122786
2.018505639	A	1.345641774
2.191612711	A	1.246050918
3.285305725	A	3.397796947
0.981614927	A	0.627442191
1.830362906	A	0.433489338
2.552721444	B	1.08656486
0.602598847	B	1.485662778
0.830192751	B	1.037972289
2.674292308	B	2.365527082
3.367832306	B	3.760060454
2.115412165	A	0.196647196
2.503876407	B	1.873159734
0.242682479	B	1.101197573
1.923705256	A	0.903333706
3.527400914	A	3.66324583
2.203474267	A	0.608412269
1.537169042	B	1.217028429
1.578316097	B	1.828138985
